Package Name,Species name,Action Type,Lead RO,Priority Bin Ranking,Timeframe,Current Candidate,Range
"Tennessee Clubshell, Tennessee Pigtoe, and Cumberland Moccasinshell ",Cumberland moccasinshell ,12M ,R4 ,2,FY20 ,,"AL, GA, KY, NC, TN, VA"
,frecklebelly madtom ,12M ,R4 ,N/A ,FY20 ,,"AL, GA, LA, MS, TN"
,Kentucky creekshell ,12M ,R4 ,3,FY20 ,,KY
,Key ringneck snake ,12M ,R4 ,2,FY20 ,,FL
,longnose darter ,12M ,R4 ,2,FY20 ,,"AR, OK, MO"
,Obey crayfish ,12M ,R4 ,2,FY20 ,,TN
,Oklahoma salamander ,12M ,R4 ,2,FY20 ,,"OK, MO, AR"
,Rim Rock crowned snake ,12M ,R4 ,2,FY20 ,,FL
,Savannah lilliput ,12M ,R4 ,2,FY20 ,,"GA, NC, SC"
,sickle darter ,12M ,R4 ,N/A ,FY20 ,,"NC, TN, VA"
,southern elktoe ,12M ,R4 ,2,FY20 ,,"AL, FL, GA"
,speckled burrowing crayfish ,12M ,R4 ,3,FY20 ,,"AL, MS"
,spinytail crayfish ,12M ,R4 ,3,FY20 ,,MS
"Tennessee Clubshell, Tennessee Tennessee Clubshell, Tennessee Pigtoe, and Cumberland Moccasinshell Moccasinshell ",Tennessee clubshell ,12M ,R4 ,2,FY20 ,,"AL, TN, KY, VA"
"Tennessee Clubshell, Tennessee Tennessee Clubshell, Tennessee Pigtoe, and Cumberland Moccasinshell Moccasinshell ",Tennessee pigtoe ,12M ,R4 ,2,FY20 ,,"AL, GA, MS, NC, TN, VA"
,yellow pond-lily (Cape Fear spatterdock),12M ,R4 ,2,FY20 ,,"NC, SC, VA"
17 Cave Beetles ,Avernus cave beetle ,12M ,R5 ,3,FY20 ,,VA
3 Cave Amphipods ,Cooper's Cave amphipod ,12M ,R5 ,2,FY20 ,,WV
17 Cave Beetles ,Crossroads cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Cudjo's (Cumberland Gap) Cave beetle,12M ,R5 ,3,FY20 ,,"TN, VA"
,green floater ,12M ,R5 ,3,FY20,,"DC, MD, NC, NJ, NY, PA, TN, VA, WV"
17 Cave Beetles ,Holsinger's cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Hubbard's cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Hubricht's cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Little Kennedy cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Maiden Spring cave beetle ,12M ,R5 ,3,FY20 ,,VA
3 Cave Amphipods ,Minute Cave amphipod ,12M ,R5 ,2,FY20 ,,WV
3 Cave Amphipods ,Morrison's Cave amphipod ,12M ,R5 ,2,FY20 ,,"VA, WV"
17 Cave Beetles ,Narrow Cave (New River Valley Cave) beetle,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Natural Bridge cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,overlooked cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Saint Paul cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Shenandoah (Madden's Cave) beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,silken cave beetle ,12M ,R5 ,3,FY20 ,,VA
17 Cave Beetles ,South Branch Valley cave beetle ,12M ,R5 ,3,FY20 ,,"VA, WV"
17 Cave Beetles ,thin-neck cave beetle ,Discretionary Status Review,R5 ,3,FY20 ,,VA
17 Cave Beetles ,Thomas' cave beetle ,12M ,R5 ,3,FY20 ,,VA
,West Virginia spring salamander ,12M ,R5 ,3,FY20 ,,WV
3 Utah Molluscs ,Hamlin Valley pyrg ,12M ,R6 ,4,FY20 ,,"NV, UT"
3 Utah Molluscs ,longitudinal gland pyrg ,12M ,R6 ,4,FY20 ,,"NV, UT"
,Rocky Mountain monkeyflower ,12M ,R6 ,4,FY20 ,,CO
,southern white-tailed ptarmigan ,12M ,R6 ,3,FY20,,"CA, CO, ID, MT, NM, UT, WA, WY"
